start_date_new,nhood,num_parking_meters,wday
2019-11-20,Noe Valley,1353,4
2019-11-20,North Beach,2698,4
2019-11-20,Oceanview/Merced/Ingleside,215,4
2019-11-20,Outer Mission,968,4
2019-11-20,Outer Richmond,3495,4
2019-11-20,Pacific Heights,2146,4
2019-11-20,Portola,949,4
2019-11-20,Potrero Hill,608,4
2019-11-20,Presidio Heights,1949,4
2019-11-20,Russian Hill,2119,4
2019-11-20,South of Market,4190,4
2019-11-20,Sunset/Parkside,4688,4
2019-11-20,Tenderloin,2310,4
2019-11-20,Visitacion Valley,162,4
2019-11-20,West of Twin Peaks,4215,4
2019-11-20,Western Addition,2115,4
2019-11-20,NA,1286,4
2019-11-21,Bayview Hunters Point,86,5
2019-11-21,Bernal Heights,1080,5
2019-11-21,Castro/Upper Market,1725,5
2019-11-21,Chinatown,2238,5
2019-11-21,Excelsior,832,5
2019-11-21,Financial District/South Beach,7785,5
2019-11-21,Glen Park,357,5
2019-11-21,Golden Gate Park,30,5
2019-11-21,Haight Ashbury,1201,5
2019-11-21,Hayes Valley,2481,5
2019-11-21,Inner Richmond,4514,5
2019-11-21,Inner Sunset,1899,5
2019-11-21,Japantown,1786,5
2019-11-21,Lakeshore,205,5
2019-11-21,Lone Mountain/USF,450,5
2019-11-21,Marina,4270,5
2019-11-21,Mission,8320,5
2019-11-21,Mission Bay,3075,5
2019-11-21,Nob Hill,2055,5
2019-11-21,Noe Valley,1414,5
2019-11-21,North Beach,2788,5
2019-11-21,Oceanview/Merced/Ingleside,227,5
2019-11-21,Outer Mission,882,5
2019-11-21,Outer Richmond,3521,5
2019-11-21,Pacific Heights,2047,5
2019-11-21,Portola,991,5
2019-11-21,Potrero Hill,545,5
2019-11-21,Presidio Heights,1969,5
2019-11-21,Russian Hill,2224,5
2019-11-21,South of Market,4434,5
2019-11-21,Sunset/Parkside,4505,5
2019-11-21,Tenderloin,2223,5
2019-11-21,Visitacion Valley,198,5
2019-11-21,West of Twin Peaks,4305,5
2019-11-21,Western Addition,2105,5
2019-11-21,NA,1350,5
2019-11-22,Bayview Hunters Point,99,6
2019-11-22,Bernal Heights,1126,6
2019-11-22,Castro/Upper Market,1862,6
2019-11-22,Chinatown,2212,6
2019-11-22,Excelsior,960,6
2019-11-22,Financial District/South Beach,7724,6
2019-11-22,Glen Park,338,6
2019-11-22,Golden Gate Park,36,6
2019-11-22,Haight Ashbury,1233,6
2019-11-22,Hayes Valley,2574,6
2019-11-22,Inner Richmond,4712,6
2019-11-22,Inner Sunset,2139,6
2019-11-22,Japantown,1789,6
2019-11-22,Lakeshore,131,6
2019-11-22,Lone Mountain/USF,445,6
2019-11-22,Marina,4218,6
2019-11-22,Mission,8714,6
2019-11-22,Mission Bay,3088,6
2019-11-22,Nob Hill,2124,6
2019-11-22,Noe Valley,1517,6
2019-11-22,North Beach,3003,6
2019-11-22,Oceanview/Merced/Ingleside,203,6
2019-11-22,Outer Mission,1129,6
2019-11-22,Outer Richmond,3748,6
2019-11-22,Pacific Heights,2219,6
2019-11-22,Portola,856,6
2019-11-22,Potrero Hill,516,6
2019-11-22,Presidio Heights,2091,6
2019-11-22,Russian Hill,2267,6
2019-11-22,South of Market,4240,6
2019-11-22,Sunset/Parkside,5144,6
2019-11-22,Tenderloin,2303,6
2019-11-22,Visitacion Valley,219,6
2019-11-22,West of Twin Peaks,4351,6
2019-11-22,Western Addition,2107,6
2019-11-22,NA,1602,6
2019-11-23,Bayview Hunters Point,61,7
2019-11-23,Bernal Heights,1231,7
2019-11-23,Castro/Upper Market,1887,7
2019-11-23,Chinatown,2249,7
2019-11-23,Excelsior,1076,7
2019-11-23,Financial District/South Beach,8789,7
2019-11-23,Glen Park,429,7
2019-11-23,Golden Gate Park,55,7
2019-11-23,Haight Ashbury,1504,7
2019-11-23,Hayes Valley,2780,7
2019-11-23,Inner Richmond,4852,7
2019-11-23,Inner Sunset,2209,7
2019-11-23,Japantown,1498,7
2019-11-23,Lakeshore,63,7
2019-11-23,Lone Mountain/USF,451,7
2019-11-23,Marina,4474,7
2019-11-23,Mission,8877,7
2019-11-23,Mission Bay,3200,7
2019-11-23,Nob Hill,2527,7
2019-11-23,Noe Valley,1509,7
2019-11-23,North Beach,3891,7
2019-11-23,Oceanview/Merced/Ingleside,270,7
2019-11-23,Outer Mission,1110,7
2019-11-23,Outer Richmond,3984,7
2019-11-23,Pacific Heights,2333,7
2019-11-23,Portola,788,7
2019-11-23,Potrero Hill,426,7
2019-11-23,Presidio Heights,1736,7
2019-11-23,Russian Hill,2609,7
2019-11-23,South of Market,3852,7
2019-11-23,Sunset/Parkside,5288,7
2019-11-23,Tenderloin,2636,7
2019-11-23,Visitacion Valley,151,7
2019-11-23,West of Twin Peaks,4789,7
2019-11-23,Western Addition,1746,7
