start_date_new,zip,num_parking_meters,wday
2019-12-02,94110,6971,2
2019-12-02,94111,3372,2
2019-12-02,94112,2438,2
2019-12-02,94114,2897,2
2019-12-02,94115,4392,2
2019-12-02,94116,1318,2
2019-12-02,94117,1956,2
2019-12-02,94118,7323,2
2019-12-02,94121,2774,2
2019-12-02,94122,5698,2
2019-12-02,94123,4280,2
2019-12-02,94124,52,2
2019-12-02,94127,2994,2
2019-12-02,94131,591,2
2019-12-02,94132,638,2
2019-12-02,94133,3587,2
2019-12-02,94134,996,2
2019-12-02,NA,1165,2
2019-12-03,94102,3935,3
2019-12-03,94103,5978,3
2019-12-03,94104,501,3
2019-12-03,94105,2491,3
2019-12-03,94107,5105,3
2019-12-03,94108,1349,3
2019-12-03,94109,5294,3
2019-12-03,94110,7322,3
2019-12-03,94111,3669,3
2019-12-03,94112,2471,3
2019-12-03,94114,3207,3
2019-12-03,94115,4485,3
2019-12-03,94116,1293,3
2019-12-03,94117,2111,3
2019-12-03,94118,7239,3
2019-12-03,94121,2737,3
2019-12-03,94122,5831,3
2019-12-03,94123,4344,3
2019-12-03,94124,87,3
2019-12-03,94127,3019,3
2019-12-03,94131,534,3
2019-12-03,94132,782,3
2019-12-03,94133,3667,3
2019-12-03,94134,1076,3
2019-12-03,NA,1222,3
2019-12-04,94102,3888,4
2019-12-04,94103,5971,4
2019-12-04,94104,445,4
2019-12-04,94105,2452,4
2019-12-04,94107,5687,4
2019-12-04,94108,1388,4
2019-12-04,94109,5386,4
2019-12-04,94110,7478,4
2019-12-04,94111,3740,4
2019-12-04,94112,2467,4
2019-12-04,94114,3128,4
2019-12-04,94115,4510,4
2019-12-04,94116,1261,4
2019-12-04,94117,2161,4
2019-12-04,94118,7396,4
2019-12-04,94121,2532,4
2019-12-04,94122,5429,4
2019-12-04,94123,4547,4
2019-12-04,94124,71,4
2019-12-04,94127,3160,4
2019-12-04,94131,539,4
2019-12-04,94132,684,4
2019-12-04,94133,3597,4
2019-12-04,94134,1083,4
2019-12-04,NA,1287,4
2019-12-05,94102,3983,5
2019-12-05,94103,6069,5
2019-12-05,94104,505,5
2019-12-05,94105,2696,5
2019-12-05,94107,5826,5
2019-12-05,94108,1448,5
2019-12-05,94109,5608,5
2019-12-05,94110,7308,5
2019-12-05,94111,3994,5
2019-12-05,94112,2382,5
2019-12-05,94114,3148,5
2019-12-05,94115,4798,5
2019-12-05,94116,1179,5
2019-12-05,94117,2250,5
2019-12-05,94118,7287,5
2019-12-05,94121,2650,5
2019-12-05,94122,5610,5
2019-12-05,94123,4477,5
2019-12-05,94124,82,5
2019-12-05,94127,2989,5
2019-12-05,94131,597,5
2019-12-05,94132,700,5
2019-12-05,94133,3758,5
2019-12-05,94134,1053,5
2019-12-05,NA,1429,5
2019-12-06,94102,4157,6
2019-12-06,94103,6211,6
2019-12-06,94104,444,6
2019-12-06,94105,2577,6
2019-12-06,94107,5879,6
2019-12-06,94108,1453,6
2019-12-06,94109,5694,6
2019-12-06,94110,7624,6
2019-12-06,94111,3934,6
2019-12-06,94112,2630,6
2019-12-06,94114,3190,6
2019-12-06,94115,4965,6
2019-12-06,94116,1350,6
2019-12-06,94117,2287,6
2019-12-06,94118,7511,6
2019-12-06,94121,2952,6
2019-12-06,94122,5948,6
2019-12-06,94123,4587,6
2019-12-06,94124,129,6
2019-12-06,94127,3020,6
2019-12-06,94131,544,6
2019-12-06,94132,702,6
2019-12-06,94133,3867,6
2019-12-06,94134,1210,6
2019-12-06,NA,1528,6
2019-12-07,94102,4273,7
2019-12-07,94103,5388,7
2019-12-07,94104,533,7
2019-12-07,94105,2966,7
2019-12-07,94107,5284,7
2019-12-07,94108,2147,7
2019-12-07,94109,6403,7
2019-12-07,94110,7400,7
2019-12-07,94111,3316,7
2019-12-07,94112,2466,7
2019-12-07,94114,3191,7
2019-12-07,94115,4511,7
2019-12-07,94116,1416,7
2019-12-07,94117,2260,7
2019-12-07,94118,7138,7
2019-12-07,94121,2917,7
2019-12-07,94122,5691,7
2019-12-07,94123,4298,7
2019-12-07,94124,67,7
2019-12-07,94127,2958,7
2019-12-07,94131,484,7
2019-12-07,94132,554,7
2019-12-07,94133,4220,7
2019-12-07,94134,948,7
2019-12-07,NA,1812,7
2019-12-09,94102,3851,2
2019-12-09,94103,5751,2
2019-12-09,94104,456,2
2019-12-09,94105,2698,2
2019-12-09,94107,5515,2
2019-12-09,94108,1593,2
2019-12-09,94109,5602,2
2019-12-09,94110,7237,2
2019-12-09,94111,3895,2
2019-12-09,94112,2523,2
2019-12-09,94114,3091,2
2019-12-09,94115,4706,2
2019-12-09,94116,1169,2
2019-12-09,94117,2330,2
2019-12-09,94118,7550,2
2019-12-09,94121,2846,2
2019-12-09,94122,5420,2
2019-12-09,94123,4276,2
2019-12-09,94124,42,2
2019-12-09,94127,3330,2
2019-12-09,94131,534,2
2019-12-09,94132,582,2
2019-12-09,94133,3766,2
2019-12-09,94134,1075,2
2019-12-09,NA,1206,2
2019-12-10,94102,4032,3
2019-12-10,94103,6008,3
2019-12-10,94104,503,3
2019-12-10,94105,2639,3
2019-12-10,94107,5418,3
2019-12-10,94108,1553,3
2019-12-10,94109,5756,3
2019-12-10,94110,7227,3
2019-12-10,94111,4136,3
2019-12-10,94112,2610,3
2019-12-10,94114,3045,3
2019-12-10,94115,4738,3
2019-12-10,94116,1265,3
2019-12-10,94117,2204,3
2019-12-10,94118,7389,3
2019-12-10,94121,2826,3
2019-12-10,94122,5798,3
2019-12-10,94123,4589,3
2019-12-10,94124,85,3
2019-12-10,94127,3414,3
2019-12-10,94131,527,3
2019-12-10,94132,677,3
2019-12-10,94133,3505,3
2019-12-10,94134,947,3
2019-12-10,NA,1355,3
2019-12-11,94102,3779,4
2019-12-11,94103,5866,4
2019-12-11,94104,445,4
2019-12-11,94105,2338,4
2019-12-11,94107,5589,4
2019-12-11,94108,1446,4
2019-12-11,94109,5486,4
2019-12-11,94110,7451,4
2019-12-11,94111,3709,4
2019-12-11,94112,2305,4
2019-12-11,94114,2888,4
2019-12-11,94115,4445,4
2019-12-11,94116,1237,4
2019-12-11,94117,2165,4
2019-12-11,94118,6932,4
2019-12-11,94121,2515,4
2019-12-11,94122,5387,4
2019-12-11,94123,4351,4
2019-12-11,94124,67,4
2019-12-11,94127,3111,4
2019-12-11,94131,537,4
2019-12-11,94132,667,4
2019-12-11,94133,3398,4
2019-12-11,94134,904,4
2019-12-11,NA,1424,4
2019-12-12,94102,4138,5
2019-12-12,94103,6080,5
2019-12-12,94104,376,5
2019-12-12,94105,2437,5
2019-12-12,94107,5668,5
2019-12-12,94108,1496,5
2019-12-12,94109,5540,5
2019-12-12,94110,7219,5
2019-12-12,94111,3969,5
2019-12-12,94112,2161,5
2019-12-12,94114,3046,5
2019-12-12,94115,4743,5
2019-12-12,94116,1150,5
2019-12-12,94117,2150,5
2019-12-12,94118,7300,5
2019-12-12,94121,2776,5
2019-12-12,94122,5259,5
2019-12-12,94123,4487,5
2019-12-12,94124,82,5
2019-12-12,94127,3270,5
2019-12-12,94131,473,5
2019-12-12,94132,653,5
2019-12-12,94133,3712,5
2019-12-12,94134,835,5
2019-12-12,NA,1290,5
2019-12-13,94102,4139,6
2019-12-13,94103,6350,6
2019-12-13,94104,426,6
2019-12-13,94105,2644,6
2019-12-13,94107,6184,6
2019-12-13,94108,1631,6
2019-12-13,94109,5891,6
2019-12-13,94110,7563,6
2019-12-13,94111,4038,6
2019-12-13,94112,2225,6
2019-12-13,94114,3234,6
2019-12-13,94115,5009,6
2019-12-13,94116,1330,6
2019-12-13,94117,2325,6
2019-12-13,94118,7693,6
2019-12-13,94121,3040,6
2019-12-13,94122,5874,6
2019-12-13,94123,4839,6
2019-12-13,94124,99,6
2019-12-13,94127,3483,6
2019-12-13,94131,594,6
2019-12-13,94132,614,6
2019-12-13,94133,3909,6
2019-12-13,94134,850,6
2019-12-13,NA,1780,6
2019-12-14,94102,4908,7
2019-12-14,94103,5664,7
2019-12-14,94104,727,7
2019-12-14,94105,3347,7
2019-12-14,94107,5610,7
2019-12-14,94108,2574,7
2019-12-14,94109,6898,7
2019-12-14,94110,7887,7
2019-12-14,94111,3836,7
2019-12-14,94112,2258,7
2019-12-14,94114,3303,7
2019-12-14,94115,4777,7
2019-12-14,94116,1428,7
2019-12-14,94117,2625,7
2019-12-14,94118,7831,7
